Country,Sport,Medals,Athletes,Medal_Rate,Medal_Rate_pct,Athlete_Share_pct,Medal_Share_pct,Over_Under_pp
CAN,Ice Hockey,4,6,0.6666666666666666,66.7,12.5,22.2,9.7
CAN,Freestyle Skiing,4,7,0.5714285714285714,57.1,14.6,22.2,7.6
CAN,Speed Skating,4,7,0.5714285714285714,57.1,14.6,22.2,7.6
CAN,Curling,2,2,1.0,100.0,4.2,11.1,6.9
CAN,Short Track,3,5,0.6,60.0,10.4,16.7,6.3
CAN,Figure Skating,0,1,0.0,0.0,2.1,0.0,-2.1
CAN,Luge,0,1,0.0,0.0,2.1,0.0,-2.1
CAN,Nordic Combined,0,1,0.0,0.0,2.1,0.0,-2.1
CAN,Cross-Country,0,2,0.0,0.0,4.2,0.0,-4.2
CAN,Biathlon,0,3,0.0,0.0,6.2,0.0,-6.2
CAN,Alpine Skiing,0,4,0.0,0.0,8.3,0.0,-8.3
CAN,Snowboard,1,9,0.1111111111111111,11.1,18.8,5.6,-13.2
